id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,precio_noche,nombre_hotel,valoración,ciudad
40c4cb55-d1f5-407b-832f-4756b8ff77b4,2,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,1,119.96,Hotel Monte Verde,1.0,Madrid
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,3,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,2,211.53,Hotel Brisas Del Mar,5.0,Madrid
57d4515a-447d-4067-afcb-9bdcf4e4e915,4,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,3,378.37,Hotel Camino Del Sol,1.0,Madrid
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,5,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,4,85.45,Hotel Puerta Del Cielo,5.0,Madrid
99c3dc4f-663c-45f7-849a-ac9313f3746a,6,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,5,309.8,Hotel Encanto Real,1.0,Madrid
a5da0906-0fe5-4c30-b193-863df67a7b84,8,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,6,434.88,Palacio Del Sol,4.0,Madrid
3eca014e-f122-41d7-9dd3-b984b9153d57,10,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,7,216.57,Hotel Jardines Del Rey,3.0,Madrid
8a68fb77-8798-4902-a92d-642ea5e47083,13,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,8,378.1,Hotel Las Estrellas,4.0,Madrid
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,15,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,9,358.07,Gran Hotel Madrid,2.0,Madrid
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,17,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-02,10,79.77,Hotel Torre Dorada,3.0,Madrid
96a3727c-99fb-4ae0-a6c3-886504499ec2,18,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-02,11,228.02,Hotel Palacio Imperial,2.0,Madrid
18fa5887-c155-4064-ba8d-3b2948dd348b,19,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-02,3,385.24,Hotel Camino Del Sol,3.0,Madrid
9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,20,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06,2025-03-01,2025-03-02,12,454.01,Hotel Luz De Madrid,3.0,Madrid
